,Unnamed: 0,TEAM,GP,PPG,FGM-game,FGA-game,FGM-total,FGA-total,FG%,2PM,2PA,2P%,PPS,FG%.adj,team,games_played,assist,assist_per_game,turnover,turnover_per_game,assist/to
149,149,marist,31,67.3,23.8,53.1,739,1647,0.449,494,972,0.508,1.27,0.523,Marist,31,377,12.2,387,12.5,0.97
150,150,houston,33,76.2,26.8,59.6,883,1968,0.449,578,1130,0.512,1.28,0.526,Houston,33,497,15.1,379,11.5,1.31
151,151,grambling,33,71.3,24.3,54.3,803,1791,0.44799999999999995,587,1250,0.47,1.31,0.509,Grambling,33,398,12.1,520,15.8,0.77
152,152,davidson,33,70.5,24.9,55.6,822,1834,0.44799999999999995,522,978,0.534,1.27,0.53,Davidson,33,476,14.4,363,11.0,1.31
153,153,tulsa,32,71.8,24.3,54.1,776,1732,0.44799999999999995,554,1080,0.513,1.33,0.512,Tulsa,32,430,13.4,404,12.6,1.06
154,154,north florida,33,75.3,27.3,61.0,902,2014,0.44799999999999995,594,1117,0.532,1.23,0.524,North Florida,33,520,15.8,535,16.2,0.97
155,155,sacramento state,31,70.9,26.0,58.1,806,1800,0.44799999999999995,631,1273,0.496,1.22,0.496,Sacramento State,31,431,13.9,404,13.0,1.07
156,156,washington state,32,74.8,26.0,58.2,833,1861,0.44799999999999995,532,1033,0.515,1.29,0.528,Washington State,32,478,14.9,439,13.7,1.09
157,157,rider,31,76.8,27.3,61.1,847,1893,0.447,625,1242,0.503,1.26,0.506,Rider,31,450,14.5,415,13.4,1.08
158,158,arizona state,32,77.8,26.6,59.5,851,1903,0.447,619,1223,0.506,1.31,0.508,Arizona State,32,435,13.6,434,13.6,1.0
159,159,idaho state,30,73.3,26.0,58.1,779,1742,0.447,505,990,0.51,1.26,0.526,Idaho State,30,383,12.8,360,12.0,1.06
160,160,the citadel,30,85.1,30.0,67.0,899,2011,0.447,529,935,0.5660000000000001,1.27,0.539,The Citadel,30,462,15.4,386,12.9,1.2
161,161,arkansas,32,75.5,26.4,59.1,845,1892,0.447,604,1188,0.508,1.28,0.51,Arkansas,32,513,16.0,425,13.3,1.21
162,162,western kentucky,34,71.4,25.1,56.2,853,1910,0.447,654,1302,0.502,1.27,0.499,Western Kentucky,34,417,12.3,466,13.7,0.89
