,TEAM,GP,PPG,FGM-game,FGA-game,FGM-total,FGA-total,FG%,2PM,2PA,2P%,PPS,FG%.adj
210,Bowling Green,34,78.5,27.8,62.8,945,2134,.443,673,1372,.491,1.25,.507
211,Brown,30,73.6,25.3,57.2,759,1715,.443,528,1030,.513,1.29,.510
212,VCU,32,71.4,25.0,56.6,801,1811,.442,572,1066,.537,1.26,.506
213,SMU,32,72.0,26.0,58.9,833,1884,.442,570,1112,.513,1.22,.512
214,James Madison,33,70.4,24.9,56.3,821,1859,.442,578,1189,.486,1.25,.507
215,Marshall,33,80.2,28.0,63.5,925,2096,.441,593,1141,.520,1.26,.521
216,UMass,32,70.7,25.3,57.2,808,1831,.441,552,1099,.502,1.24,.511
217,Florida International,32,82.6,29.2,66.1,933,2115,.441,664,1237,.537,1.25,.505
220,Idaho,32,67.9,24.3,55.1,778,1764,.441,527,1086,.485,1.23,.512
221,SE Louisiana,33,67.4,23.2,52.6,765,1735,.441,530,1039,.510,1.28,.509
222,Sam Houston State,32,75.2,26.8,60.8,858,1946,.441,556,1127,.493,1.24,.518
223,Alabama,33,71.8,25.1,56.8,827,1876,.441,594,1188,.500,1.26,.503
224,Georgia,32,71.1,24.3,55.0,776,1761,.441,566,1108,.511,1.29,.500
