,team,games_played,assist,assist_per_game,turnover,turnover_per_game,assist/to
134,Florida Gulf Coast,32,449,14.0,481,15.0,0.93
135,Texas Tech,32,449,14.0,396,12.4,1.13
136,Youngstown State,32,449,14.0,422,13.2,1.06
137,Central Arkansas,33,463,14.0,477,14.5,0.97
138,St. John's,33,463,14.0,341,10.3,1.36
139,Wright State,34,477,14.0,393,11.6,1.21
140,Hofstra,34,476,14.0,333,9.8,1.43
141,Hartford,33,462,14.0,401,12.2,1.15
142,Loyola (MD),32,448,14.0,444,13.9,1.01
144,UL Monroe,33,461,14.0,373,11.3,1.24
145,Samford,33,461,14.0,463,14.0,1.00
146,Lafayette,30,419,14.0,402,13.4,1.04
147,New Mexico,32,446,13.9,455,14.2,0.98
148,Sacramento State,31,431,13.9,404,13.0,1.07
149,Michigan,33,458,13.9,294,8.9,1.56
150,VCU,32,444,13.9,446,13.9,1.00
151,South Alabama,34,471,13.9,456,13.4,1.03
152,Kentucky,33,457,13.8,417,12.6,1.10
153,Baylor,32,443,13.8,424,13.3,1.04
155,Duquesne,32,442,13.8,451,14.1,0.98
156,VMI,32,442,13.8,390,12.2,1.13
157,Nicholls,30,414,13.8,364,12.1,1.14
158,Utah Valley,33,455,13.8,447,13.5,1.02
159,South Florida,32,441,13.8,513,16.0,0.86
160,SMU,32,441,13.8,351,11.0,1.26
161,Austin Peay,33,454,13.8,392,11.9,1.16
162,Kansas State,33,454,13.8,372,11.3,1.22
163,Robert Morris,33,454,13.8,487,14.8,0.93
164,Eastern Washington,34,467,13.7,401,11.8,1.16
166,SE Louisiana,33,452,13.7,536,16.2,0.84
167,Wichita State,33,452,13.7,392,11.9,1.15
168,Southern Illinois,32,438,13.7,447,14.0,0.98
169,Jacksonville State,33,451,13.7,440,13.3,1.03
170,Cincinnati,33,451,13.7,347,10.5,1.30
171,San José St,31,423,13.6,485,15.6,0.87
172,Howard,33,450,13.6,417,12.6,1.08
173,Marquette,33,450,13.6,458,13.9,0.98
174,Arizona State,32,435,13.6,434,13.6,1.00
175,Loyola-Chicago,33,448,13.6,393,11.9,1.14
177,Oral Roberts,32,434,13.6,446,13.9,0.97
178,Air Force,32,434,13.6,423,13.2,1.03
179,Eastern Illinois,32,434,13.6,427,13.3,1.02
180,Portland State,32,434,13.6,449,14.0,0.97
181,South Carolina Upstate,32,434,13.6,440,13.8,0.99
182,Boston University,33,447,13.5,425,12.9,1.05
183,Seton Hall,33,447,13.5,408,12.4,1.10
184,Georgia Tech,32,433,13.5,459,14.3,0.94
185,Illinois,33,446,13.5,434,13.2,1.03
186,Stetson,31,418,13.5,396,12.8,1.06
188,UC Santa Barbara,32,431,13.5,355,11.1,1.21
189,Tulsa,32,430,13.4,404,12.6,1.06
190,LIU Brooklyn,32,430,13.4,471,14.7,0.91
191,McNeese,30,403,13.4,432,14.4,0.93
192,Santa Clara,31,416,13.4,433,14.0,0.96
193,American,30,402,13.4,386,12.9,1.04
194,Colorado,33,442,13.4,443,13.4,1.00
195,Louisville,33,442,13.4,406,12.3,1.09
196,West Virginia,34,454,13.4,535,15.7,0.85
197,Oregon,35,467,13.3,413,11.8,1.13
199,Louisiana Tech,33,440,13.3,385,11.7,1.14
200,Morehead State,33,440,13.3,402,12.2,1.09
201,Kansas,34,453,13.3,455,13.4,1.00
202,Loyola Marymount,31,413,13.3,395,12.7,1.05
203,Indiana,32,426,13.3,404,12.6,1.05
204,UMBC,34,452,13.3,426,12.5,1.06
205,Rice,32,425,13.3,438,13.7,0.97
206,North Dakota,30,398,13.3,380,12.7,1.05
207,UCF,31,411,13.3,366,11.8,1.12
208,UC Irvine,35,463,13.2,411,11.7,1.13
210,Georgia,32,423,13.2,506,15.8,0.84
211,Maryland,32,423,13.2,420,13.1,1.01
212,Texas A&M-CC,32,423,13.2,456,14.3,0.93
213,Oklahoma State,32,422,13.2,389,12.2,1.08
214,Northern Colorado,32,422,13.2,397,12.4,1.06
215,Central Michigan,34,448,13.2,412,12.1,1.09
216,UT Rio Grande Valley,35,461,13.2,449,12.8,1.03
217,Iona,32,421,13.2,396,12.4,1.06
218,LSU,32,420,13.1,423,13.2,0.99
219,UTSA,32,420,13.1,402,12.6,1.04
221,Coastal Carolina,31,406,13.1,442,14.3,0.92
222,Troy,30,392,13.1,408,13.6,0.96
223,Chattanooga,32,418,13.1,408,12.8,1.02
224,Butler,32,418,13.1,350,10.9,1.19
225,Kent State,32,418,13.1,365,11.4,1.15
226,Valparaiso,33,431,13.1,436,13.2,0.99
227,High Point,31,404,13.0,406,13.1,1.00
228,Saint Louis,34,441,13.0,439,12.9,1.00
229,North Texas,33,428,13.0,443,13.4,0.97
230,SE Missouri St,31,402,13.0,447,14.4,0.90
232,Fairfield,31,401,12.9,436,14.1,0.92
233,UNLV,31,401,12.9,400,12.9,1.00
234,Ball State,33,426,12.9,480,14.5,0.89
235,Miami,32,413,12.9,372,11.6,1.11
236,South Carolina,32,413,12.9,433,13.5,0.95
237,Florida State,34,438,12.9,459,13.5,0.95
238,Norfolk State,34,438,12.9,499,14.7,0.88
239,UC Riverside,33,425,12.9,424,12.8,1.00
240,Delaware,33,425,12.9,378,11.5,1.12
241,Navy,31,399,12.9,437,14.1,0.91
243,Brown,30,385,12.8,427,14.2,0.90
244,UNC Greensboro,34,436,12.8,401,11.8,1.09
245,Notre Dame,33,423,12.8,305,9.2,1.39
246,Quinnipiac,30,384,12.8,408,13.6,0.94
247,Old Dominion,34,435,12.8,399,11.7,1.09
248,UConn,33,422,12.8,427,12.9,0.99
249,UT Arlington,32,409,12.8,453,14.2,0.90
250,Texas,32,409,12.8,351,11.0,1.17
251,Omaha,32,409,12.8,304,9.5,1.35
252,Idaho State,30,383,12.8,360,12.0,1.06
254,Wisconsin,33,421,12.8,315,9.5,1.34
255,Illinois State,33,421,12.8,417,12.6,1.01
256,South Dakota,30,382,12.7,324,10.8,1.18
257,Florida Atlantic,32,407,12.7,471,14.7,0.86
258,Oklahoma,32,406,12.7,390,12.2,1.04
259,Appalachian State,32,406,12.7,418,13.1,0.97
260,Mercer,31,393,12.7,407,13.1,0.97
261,Nebraska,34,431,12.7,329,9.7,1.31
262,Stanford,31,392,12.6,465,15.0,0.84
263,Southern Utah,32,404,12.6,438,13.7,0.92
265,Alcorn State,31,391,12.6,492,15.9,0.79
266,La Salle,31,391,12.6,434,14.0,0.90
267,Prairie View A&M,34,428,12.6,433,12.7,0.99
268,Rutgers,31,390,12.6,407,13.1,0.96
269,Siena,33,415,12.6,322,9.8,1.29
270,Albany,32,402,12.6,453,14.2,0.89
271,Georgia State,32,402,12.6,374,11.7,1.07
272,St. Francis (PA),32,402,12.6,392,12.3,1.03
273,Bowling Green,34,427,12.6,411,12.1,1.04
274,Tennessee Tech,31,389,12.5,517,16.7,0.75
276,Idaho,32,399,12.5,431,13.5,0.93
